,state,time,testing,app,ages
0,0,2.000008374982588,0,0,6
1,0,2.000008374982588,0,0,6
2,0,2.000008374982588,0,0,8
3,0,2.000008374982588,0,0,8
4,0,2.000008374982588,0,0,7
5,0,2.000008374982588,0,0,8
6,0,2.000008374982588,0,0,6
7,0,2.000008374982588,0,0,7
8,0,2.000008374982588,0,0,5
9,0,2.000008374982588,0,0,6
10,0,2.000008374982588,0,0,4
11,0,2.000008374982588,0,0,2
12,0,2.000008374982588,0,0,8
13,0,2.000008374982588,0,0,9
14,0,2.000008374982588,0,0,1
15,0,2.000008374982588,0,0,4
16,0,2.000008374982588,0,0,3
17,0,2.000008374982588,0,0,6
18,0,2.000008374982588,0,0,8
19,0,2.000008374982588,0,0,9
20,0,2.000008374982588,0,0,2
21,0,2.000008374982588,0,0,4
22,0,2.000008374982588,0,0,1
23,0,2.000008374982588,0,0,2
24,8,1.5684899319622132,2,0,8
25,0,2.000008374982588,0,0,1
26,0,2.000008374982588,0,0,4
27,0,2.000008374982588,0,0,2
28,0,2.000008374982588,0,0,8
29,0,2.000008374982588,0,0,2
30,0,2.000008374982588,0,0,3
31,0,2.000008374982588,0,0,9
32,5,0.5633826408401348,1,0,6
33,0,2.000008374982588,0,0,1
34,0,2.000008374982588,0,0,2
35,0,2.000008374982588,0,0,7
36,0,2.000008374982588,0,0,7
37,0,2.000008374982588,0,0,1
38,0,2.000008374982588,0,0,2
39,0,2.000008374982588,0,0,6
40,0,2.000008374982588,0,0,6
41,0,2.000008374982588,0,0,4
42,0,2.000008374982588,0,0,5
43,0,2.000008374982588,0,0,4
44,0,2.000008374982588,0,0,5
45,0,2.000008374982588,0,0,3
46,0,2.000008374982588,0,0,5
47,0,2.000008374982588,0,0,4
48,0,2.000008374982588,0,0,9
49,0,2.000008374982588,0,0,6
50,0,2.000008374982588,0,0,9
51,0,2.000008374982588,0,0,3
52,0,2.000008374982588,0,0,4
53,0,2.000008374982588,0,0,2
54,0,2.000008374982588,0,0,5
55,0,2.000008374982588,0,0,4
56,0,2.000008374982588,0,0,9
57,0,2.000008374982588,0,0,5
